answers,resps,success
D,B,True
A,A,True
D,D,True
C,C,True
A,C.,True
D,D,True
B,B,True
C,D,True
A,C,True
B,B,True
D,D,True
D,D,True
A,A,True
B,D.,True
D,D.,True
B,B,True
D,C,True
A,A.,True
C,C,True
B,B,True
D,D.,True
A,B,True
D,D,True
D,A,True
C,C,True
D,D,True
A,C.,True
B,B,True
C,C,True
B,B,True
B,B,True
B,B.,True
D,D.,True
C,A,True
A,A,True
B,A,True
C,A,True
C,D,True
C,C,True
B,A,True
D,D,True
C,C,True
B,B,True
C,C.,True
B,D,True
C,C.,True
C,B,True
C,B,True
A,A,True
C,C,True
C,D.,True
A,A,True
C,C,True
B,B,True
C,C,True
C,A,True
B,B,True
C,B,True
A,A,True
A,A,True
D,D,True
D,D,True
C,B,True
C,C,True
B,B.,True
B,B,True
A,C,True
B,B,True
B,B,True
C,C,True
C,C,True
B,B,True
C,C,True
B,C,True
C,C.,True
C,C,True
D,D,True
D,D.,True
C,D,True
A,A,True
A,A,True
D,D.,True
D,D,True
A,A,True
C,C,True
C,C.,True
C,C.,True
D,D.,True
B,B,True
C,C,True
C,C,True
B,B,True
D,D.,True
A,A,True
D,A,True
D,D,True
D,C,True
B,B,True
D,D,True
B,B.,True
A,B,True
A,C,True
A,B,True
C,B,True
B,B,True
B,C,True
A,D,True
D,D,True
D,B,True
A,A,True
B,B.,True
B,B.,True
A,D.,True
B,B.,True
D,B,True
C,C.,True
B,B,True
B,D,True
B,D,True
C,C.,True
C,D.,True
D,B,True
B,B.,True
C,C,True
A,B,True
B,B,True
A,A,True
A,B,True
C,D,True
A,A,True
D,D,True
C,C,True
B,B.,True
D,B,True
D,C,True
B,D,True
C,C,True
C,A,True
C,D.,True
B,B,True
C,C,True
D,D,True
C,C,True
A,A,True
B,B.,True
B,C,True
B,B,True
C,C,True
A,A,True
B,D.,True
C,C,True
B,B,True
D,B,True
B,C,True
A,A,True
C,D.,True
B,A,True
C,D,True
C,C,True
C,C,True
A,B,True
B,D.,True
B,B,True
D,D.,True
D,D,True
D,D,True
A,A,True
D,D,True
C,C.,True
B,D,True
D,B,True
D,D,True
C,D,True
D,D,True
D,B.,True
B,C,True
C,A.,True
C,B,True
C,C.,True
A,A,True
D,D.,True
D,B,True
B,B,True
