question_id,Source,question,answer_a,answer_b,answer_c,answer_d,answer_e,answer_f,answer_g,correct_answer,category,subdomain,age_group,pedagogical_subdomain,year,secondary_category,question_id_original,pred_gemma-3-27b,Latency_gemma-3-27b,TokensUsed_gemma-3-27b,TokensUsedCompletion_gemma-3-27b,TokensUsedReasoning_gemma-3-27b,pred_gemma-3-4b-it,Latency_gemma-3-4b-it,TokensUsed_gemma-3-4b-it,TokensUsedCompletion_gemma-3-4b-it,TokensUsedReasoning_gemma-3-4b-it,pred_o4-mini-2025-04-16,Latency_o4-mini-2025-04-16,TokensUsed_o4-mini-2025-04-16,TokensUsedCompletion_o4-mini-2025-04-16,TokensUsedReasoning_o4-mini-2025-04-16,pred_qwen-3-32b,Latency_qwen-3-32b,TokensUsed_qwen-3-32b,TokensUsedCompletion_qwen-3-32b,TokensUsedReasoning_qwen-3-32b,pred_fw-deepseek-r1-0528,Latency_fw-deepseek-r1-0528,TokensUsed_fw-deepseek-r1-0528,TokensUsedCompletion_fw-deepseek-r1-0528,TokensUsedReasoning_fw-deepseek-r1-0528,pred_gemini-2.5-pro-preview-06-05,Latency_gemini-2.5-pro-preview-06-05,TokensUsed_gemini-2.5-pro-preview-06-05,TokensUsedCompletion_gemini-2.5-pro-preview-06-05,TokensUsedReasoning_gemini-2.5-pro-preview-06-05,pred_gpt-5-2025-08-07-medium,Latency_gpt-5-2025-08-07-medium,TokensUsed_gpt-5-2025-08-07-medium,TokensUsedCompletion_gpt-5-2025-08-07-medium,TokensUsedReasoning_gpt-5-2025-08-07-medium,pred_claude-sonnet-4-5-20250929,Latency_claude-sonnet-4-5-20250929,TokensUsed_claude-sonnet-4-5-20250929,TokensUsedCompletion_claude-sonnet-4-5-20250929,TokensUsedReasoning_claude-sonnet-4-5-20250929,pred_gemini-2.5-flash-preview-09-2025,Latency_gemini-2.5-flash-preview-09-2025,TokensUsed_gemini-2.5-flash-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-preview-09-2025,pred_gemini-2.5-flash-lite-preview-09-2025,Latency_gemini-2.5-flash-lite-preview-09-2025,TokensUsed_gemini-2.5-flash-lite-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-lite-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-lite-preview-09-2025
3,Pedagogy Benchmark Luganda,"Mu somo ly'Essomabiramu, omusomesa ateekawo ekigendererwa kino eri Ekibiina ekisooka: ""Okunnyonnyola ekitera okubaawo ku miti gy'ebibala mu biseera by'omwaka eby'enjawulo."" Ku bikolwa bino wammanga, kiki ekisinga okuba ekituufu okukebera obumanyirivu bw'abayizi?",Bawe olupapula olwereere era abayizi obagambe okukuba omuti gw'ekibala ky'asinga okwagala mu biseera by'omwaka bibiri.,Laga ebifaananyi by'emiti egy'enjawulo era obuuze abayizi okugyawulamu egyo egibala n'egitabala.,"Waayo olupapula oluliko ebifaananyi by'emiti gy'ebibala, nga buli gumu guliko ekiseera kye gubaliramu, era obasabe okugisiiga langi.",Waayo kaadi eziriko emiti egy'enjawulo n'endala eziriko ebibala era obuuze abayizi okukwataganya omuti n'ekibala ekiguliko.,,,,A,Science,Teaching strategies,Primary,,,,4,C,6.01137480000034,1793,3,0,C,2.394316500001878,1792,2,0,C,10.352614499999618,2559,979,960,B,14.053418200004671,2301,433,532,C,13.133640600004584,2224,359,,A,9.31142340000224,2767,1,984,C,35.69567939999979,2870,1290,1280,C,3.9768608000013046,2010.0,4.0,0.0,A,4.930967399996007,2736,1,953,D,1.0223287000044363,1783,1,
4,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,C,Science,Teaching strategies,Pre-primary,,,,6,B,1.7558724999980768,1667,3,0,D,1.0453856000021915,1666,2,0,D,3.4785652000064147,1746,275,256,B,12.920421499999064,2350,596,638,D,10.53067629999714,2056,309,,A,12.126664700001127,2884,1,1227,D,13.545342600002186,2121,650,640,D,2.461488699998881,1874.0,4.0,0.0,D,4.446924799995031,2480,1,823,B,0.9282039999961852,1657,1,
5,Pedagogy Benchmark Luganda,Omusomesa anyonyola abaana enkukakyuka amazzi gye gayitamu.Mbeera ki wammanga eyinza okukozesebwa nga ekyokulabirako nti omukka gufuuka amazzi?,Omuzira okugwa ku mazzi go mugga,Bbalaafu okukyuka nafuuka omukka nga yokyeddwa omusana,Amazzi gomugga okunyogoga negafuuka bbalaafu,Amayinja okubissiwala nga gafunye omuka gwe kiyiiriro,,,,D,Science,Teaching strategies,Primary,,,,8,B,1.819543400000839,1630,3,0,D,1.0712844000008772,1629,2,0,D,9.114353500001016,2355,915,896,B,7.525528400001349,2243,532,644,A,11.872569300001487,2043,330,,D,7.612867199997709,2336,1,716,D,34.36152260000381,2730,1290,1280,C,2.7549656000046525,1829.0,4.0,0.0,D,2.9727628999971785,2105,1,485,B,1.0269199999966077,1620,1,
6,Pedagogy Benchmark Luganda,"Omusomesa alaga abaana ekifaananyi ekiraga enkyukakyuka y’embeera y’ekintu okuva mu ngumu okudda mu ggaasi. Kyaki erinnya ly’enkyukakyuka y’embeera omusomesa gy’ayagala okukolako?
",Okufuumuuka.,Okulugumizibwa.,Okuseeguza.,Okugattika.,,,,B,Science,Teaching strategies,Primary,,,,9,A,3.400389099995664,1603,3,0,D,1.107570600004692,1602,2,0,C,3.466633299998648,1559,147,128,C,13.7263787999982,2495,821,836,D,12.080508300001384,2049,374,,B,5.627353600000788,2151,1,558,C,30.399782200001937,2767,1355,1344,C,3.329081899995799,1804.0,4.0,0.0,C,2.885104100001626,1967,1,374,A,1.1319046999997229,1593,1,
7,Pedagogy Benchmark Luganda,"Lowooza ku mbeera eno: Omusomesa ali mu kusomesa ebikwata ku nnyanja mu kitundu ekikwata ku Biramu n’Obutonde Bwebyetoolodde. Ku lw’ekyo, alaga vidiyo eraga ennyanja ng’eri mu mpewo ezikunta. Omu ku baana ababuuza lwaki empewo zikunta. Ku bino ebiddako, kiki omusomesa ky’asaanidde okwogerako ng’ensonga enkulu evaako empewo okukunta?",Omuyaga,Amaanyi agasikira ebintu ku Mwezi,Enjawulo mu bwoki bw’omu bbanga,Enkyukakyuka mu bwoki bw'amazzi g'ennyanja,,,,A,Science,Teaching strategies,Primary,,,,11,C,1.6096306000035838,1680,3,0,D,1.1299626999971224,1679,2,0,C,11.26905270000134,2656,1171,1152,D,10.324874099998851,2414,653,728,A,11.56421219999902,2094,329,,C,8.203499899995222,2538,1,868,C,16.378484600005322,2007,522,512,C,2.6746125999998185,1897.0,4.0,0.0,C,4.612347200003569,2434,1,764,D,0.8196563000019523,1670,1,
8,Pedagogy Benchmark Luganda,"Soma embeera eno: Mu kibiina ky'abaana abato, Ignacio ayanjula ku ky'ekyennyanja ekya clownfish eraannyonnyola bagenzi be nti ekika kino kifuna obukuumi okuva ku ttooki y'ennyanja okulwanyisa abalya ebyennyanja ebirala, ate era n'ettooki y'ennyanja ekuumibwa kubanga ekyennyanja kigoba ebyennyanja ebirala ebigirya. Omusomesa ayingirawo okubannyonnyola erinnya ly'ekika ky'enkolagana y'ebiramu ekyogeddwaako omwana. Nkola ki ey'enkolagana y'ebiramu omusomesa gy'asaanidde okwogerako mu kunnyonnyola kwe?",Obuwangwa obw’okubeera awamu nga ekimu ku biramu kiganyulwa ate ekirala tekirina kye kifuna wadde okufiirwa.,Amensalism kitegeeza omukwano wakati w'ebiriwo ebimu gye kiremesa ekirala so nga kyo tekirina kye kifiirwa.,Obutalina ludda lwe bayimiriddeko,Omukwano ogw'obuyambi obwa buli omu,,,,D,Science,Teaching strategies,Primary,,,,13,A,0.9110494999986258,1807,3,0,D,1.1199248999982956,1806,2,0,D,10.085211900004651,2379,787,768,A,9.104639400000451,2211,311,358,D,10.551333799994609,2188,288,,D,6.707379699997546,2393,1,596,D,7.47427549999702,1922,330,320,D,2.68074269999488,2033.0,4.0,0.0,D,3.983017700003984,2487,1,690,D,0.9096804999935556,1797,1,
9,Pedagogy Benchmark Luganda,"Omusomesa akoze emirimu gino wammanga ku kitundu eky’okuyiga ekikwata ku ndabika y’akaziba: 1. Abayizi basoma era neekebejja ebiwandiiko ebikwata ku ndabika y’akaziba ey’omulembe n’ebipimo byayo ebikulu. 2. Abayizi bakola ku bizibu ebikwata ku ndabika y’akaziba n’ebintu ebigirimu, n’enteekateeka y’amasannyalaze, n’ennamba za kwantaamu. 3. Abayizi bakubaganya ebirowoozo mu bibinja ku biwandiiko ebikwata ku nkyukakyuka mu ndabika y’akaziba n’ebipimo byayo ebikulu nga balina ebifaananyi ebigyoleka (Democritus, Dalton, Thomson, Rutherford, Bohr). 4. Abayizi bakola okugeraageranya ku ndabika z’akaziba ez’enjawulo nga booleka ebipimo byazo ebikulu. Mu nteekateeka zino wammanga, engeri ki esinga okukubiriza okuyiga okutondekawo okutegeera okw’amaanyi ku ndabika y’akaziba?
","4 - 3 - 2 - 1
","1 - 3 - 4 - 2
","3 - 4 - 2 - 1
","3 - 4 - 1 - 2
",,,,D,Science,Teaching strategies,Secondary,,,,23,D,1.839213300001575,1857,3,0,B,1.013536299993575,1856,2,0,C,9.010860499998673,2446,787,768,B,4.422062200006621,1943,1,0,B,15.16584440000588,2411,476,,D,11.065243500001088,2979,1,1132,D,14.12206100000185,2181,522,512,B,3.0667699000041466,2088.0,4.0,0.0,D,5.371152200001234,2789,1,942,C,0.835119899995334,1847,1,
10,Pedagogy Benchmark Luganda,"Mu kwekkeneenya mu bufunze, omusomesa w'ebiramu ayogera ekibuuzo kino wammanga: Nkyukakyuka kimu mubiri eziyinza okuzuula mu mukazi eyaweebwa eddagala okuyimiriza ekikolwa kya GnHR? Zinnyonyole. Kwekkeneenya ki wammanga okugoberera ebiraga okukolebwa ekintu ekitegekeddwa?","Omulimu gw'obuwangwa oguleeta enkyukakyuka mu buvubuka.
","Nnyonnyola engeri omutwe gw’obwongo gye gufugaamu omusinde gw’eb激素 eziva mu kitundu kya hypothalamus ku musinde gw’ebisa eggi n’omubiri gw’ennyingo.
","Nnyonnyola omulandira gw’ebintu ebiddiring’ana mu mutendera gw’ekizadde ng’okozesa omutendera gw’obuwulukuto, okuva kw’eggimu, n’omutendera gwa luteal.
","Nnyonnyola omulandira gw’ebintu ebiddiring’ana mu mutendera gw’omubiri gw’ekyenda nga bikwatagana n’okukyenga omusaayi, ekiseera eky’okukula, n’ekiseera eky’okukola ebintu.
",,,,B,Science,Assessment,Secondary,,,,33,B,1.4755072999978438,1817,3,0,C,1.0340314999994007,1816,2,0,C,23.025531999999657,3666,2068,2048,B,4.636604500003159,2218,307,356,B,9.77136210000026,2168,260,,B,14.02592580000055,3313,1,1506,B,25.18559950000053,2824,1226,1216,C,2.695321999999578,2057.0,4.0,0.0,B,6.470893799996702,2918,1,1111,B,0.918805400004203,1807,1,
11,Pedagogy Benchmark Luganda,"Mu kitundu ""Amaanyi G'amasannyalaze n'Emigugu gy'amasannyalaze"" mu kibiina ekya kkumi na bibiri, omusomesa ayagala abayizi be okusemberera okussaawo amateeka nga bayita mu kwetegereza omukwano wakati w'ebintu ebirambika. Mu mbeera y'etteeka lya Ohm, ku bikolwa bino wammanga kiki ekisaana okukozesebwa ku nsonga eno?
","Abayizi bakola eggulaafu eraga amaanyi g'amasannyalaze agavaamu (current intensity) okusinzira ku voltisi mu sikito entuufu, nga balowooza nti obuzibu (resistance) bwa nkalakkalira.
","Abayizi bakola ggulaafu okuva mu mmeeza erimu ebipimo by'amaanyi g'amasannyalaze agayita mu waya ku buli voltisi, oluvannyuma ne baginnyonnyola.
","Abayizi bakkaanya ku buzibu bw'ebintu ebikulembera amasannyalaze; buli omu aweebwa omuwendo gw'amasannyalaze n'amaanyi g'amasannyalaze nga bipimiddwa mu nkola.
","Abayizi baweebwa ebipimo by'amasannyalaze ebitali bifaanagana ne bakakasa, nga bayisaawo omugatte gw'amasannyalaze agasaliddwa ku buli kimu, oba ng'ekipimo ky'amasannyalaze ekyatuukirizibwa omukolezi kituufu.
",,,,B,Science,Teaching strategies,Secondary,,,,42,A,1.5926611999966551,1876,3,0,D,1.2501573999979885,1875,2,0,A,10.046466200001303,2515,851,832,A,15.859533000002555,2372,403,449,B,11.379240199996277,2249,286,,A,19.228679799998645,3942,1,2076,A,20.882711099999145,2442,778,768,C,2.314996499997505,2126.0,4.0,0.0,A,5.183990099998482,2962,1,1096,B,0.9214907000059612,1866,1,
12,Pedagogy Benchmark Luganda,Nsomesa yakikula ki esanidde okuwa abayizi okusobola okutandikawo okusobola okutegeera sayansi wa radioactive series?,Enkula ya atomiki nukilyasi,Ensibuko y'obutoffaali bw'ebintu,Enkula ya atom okusinzira ku nsengeka ya electrons,Obutofaali bw'ebintu ne bunabwo bwebufanagana,,,,A,Science,Student understanding,Secondary,,,,51,A,1.8339089000000968,1601,3,0,A,0.985108200002287,1600,2,0,A,6.2691348000007565,1881,467,448,B,9.372720699997444,2030,352,460,A,10.553309800001443,1949,271,,A,8.885420699996757,2417,1,826,A,9.830515800000285,1872,458,448,A,2.3417545999982394,1800.0,4.0,0.0,A,3.8675895999986096,2277,1,686,B,1.022659599999315,1591,1,
13,Pedagogy Benchmark Luganda,Kumanya ki okusooka okwetaagisa abayizi okukola ku ndowooza ya VSEPR mu molekyo ez'enjawulo?,"Omugatte gw'akanyigirizi ka dipole oguvaamu molekyu ez'enjawulo
","Eteeka lya duet ne octet ku nkola y'obuziba.
","Okukiikirira empandiika z'ebisengeke bya kemiko ebiri mu molekyuulu
","Akakodyo ka valence shell electron pair repulsion (VSEPR) nga kakozesebwa ku molekyu ez'enjawulo.
",,,,C,Science,Student understanding,Secondary,,,,53,D,1.7344672999970498,1639,3,0,D,0.9839950000023236,1638,2,0,B,4.839609700000437,1726,276,256,D,2.282561699998041,1932,219,250,D,17.405176799999026,2037,325,,C,8.501281600001676,2481,1,852,C,24.26191069999913,2548,1098,1088,C,2.4581455000006827,1841.0,4.0,0.0,C,4.251945099997101,2293,1,664,B,1.2602094000030777,1629,1,
14,Pedagogy Benchmark Luganda,"Mu kiseera ky’ekibiina ku nkola enkulu eza obutaffaali bw’amasannyalaze ag’ekkemiko mu makolero, pulofeesa ayogera ku butaffaali bw’amasannyalaze ag’ekkemiko obutundibwa obuyitibwa akataffaali ka Downs, akasobozesa okufuna sodiyamu ow’ekyuma nga tuyita mu kuyabuluza omunnyo gwa sodiyamu kkalolayidi (NaCl) oguyengeddwa. Ku bino ebikulu wammanga, kiki ekisobola okulabwa mu kiseera akataffaali ka Downs we kakolera?",Sodiyamu ey’ekyuma eterekebwa ku anode olw’okukendeeza kwa ayoni za sodiyamu,Ggaasi ya chlorine efulumizibwa ku cathode okuyita mu oxidation ya chloride ions.,Ayoni za kkalolayidi zigenda ku anode okwoksidizibwa,Obutaffaali bwa sodium butambula okudda ku cathode olw'enkendeeza yaabwo.,,,,C,Science,Teaching strategies,Secondary,,,,57,B,1.1180834999977378,1758,3,0,B,1.0825007999956142,1757,2,0,C,5.445600300001388,2022,467,448,D,7.525282499998866,2445,603,654,C,13.287251999994623,2211,368,,C,8.017036299999745,2621,1,873,C,14.534326399996644,2269,714,704,C,2.309352200005378,1983.0,4.0,0.0,C,5.119573099997069,2698,1,950,A,1.0126461000036215,1748,1,
